iter	RMSE
0	4.846428667
1	4.716697951
2	4.59647619
3	4.471830302
4	4.348477633
5	4.245366817
6	4.134968232
7	4.04967024
8	3.995147872
9	3.880269932
10	3.783179029
11	3.722943391
12	3.646737317
13	3.558672956
14	3.490821648
15	3.42593861
16	3.35865496
17	3.314054985
18	3.261642504
19	3.206077453
20	3.173915315
21	3.129864656
22	3.083906936
23	3.025557825
24	2.997109348
25	2.954133529
26	2.894598426
27	2.869300507
28	2.845927532
29	2.814415675
30	2.776828183
31	2.74861995
32	2.714595356
33	2.694030353
34	2.664685805
35	2.645606633
36	2.612664129
37	2.592605796
38	2.567546589
39	2.55029651
40	2.536571721
41	2.514698879
42	2.499061764
43	2.479528279
44	2.460078686
45	2.4476211
46	2.420490482
47	2.40737281
48	2.392394838
49	2.373422066
50	2.361607448
51	2.343394458
52	2.331819856
53	2.310312033
54	2.291988255
55	2.278169455
56	2.265346032
57	2.255166666
58	2.243789742
59	2.229960526
60	2.217317552
61	2.200706104
62	2.1885358
63	2.18039933
64	2.169830315
65	2.159273452
66	2.149869942
67	2.141352284
68	2.130967022
69	2.118908852
70	2.111219414
71	2.100993504
72	2.096098127
73	2.08774477
74	2.079312784
75	2.070499615
76	2.065476366
77	2.059906443
78	2.057632668
79	2.049339694
80	2.044175168
81	2.036763196
82	2.02991201
83	2.022726589
84	2.016926379
85	2.007679848
86	2.002150013
87	2.000184805
88	1.993511821
89	1.989987602
90	1.982398081
91	1.976324255
92	1.965251228
93	1.96074286
94	1.954655638
95	1.947707874
96	1.945005133
97	1.938371022
98	1.933025567
99	1.925646021
100	1.918817812
101	1.913771329
102	1.906010301
103	1.900755031
104	1.895308429
105	1.890103704
106	1.88538422
107	1.878950084
108	1.874075491
109	1.869850228
110	1.864733371
111	1.858213742
112	1.852758438
113	1.847260064
114	1.842378926
115	1.84018643
116	1.835983633
117	1.830738488
118	1.826073605
119	1.822748407
120	1.817778358
121	1.814592594
122	1.810157662
123	1.805236182
124	1.799585668
125	1.797035569
126	1.790077116
127	1.785486522
128	1.779676249
129	1.773870085
130	1.770936077
131	1.766715885
132	1.762872673
133	1.758558445
134	1.753702657
135	1.749460474
136	1.744921709
137	1.740424778
138	1.73498204
139	1.730442308
140	1.726557549
141	1.722491684
142	1.720056522
143	1.716381182
144	1.711932764
145	1.708715478
146	1.704652775
147	1.701889079
148	1.699512743
149	1.69692941
150	1.694489126
151	1.690436445
152	1.686014615
153	1.682687455
154	1.68115964
155	1.678378453
156	1.67663621
157	1.674615139
158	1.670302533
159	1.668892825
160	1.665763247
161	1.662716675
162	1.659113375
163	1.656191212
164	1.652972809
165	1.649941118
166	1.646708055
167	1.643306194
168	1.639785027
169	1.635108224
170	1.630598289
171	1.627973305
172	1.625578919
173	1.622312036
174	1.619174125
175	1.616135616
176	1.612643717
177	1.607793772
178	1.603890475
179	1.60147136
180	1.598877292
181	1.596590331
182	1.593574008
183	1.590430479
184	1.586049107
185	1.583661364
186	1.581888181
187	1.578479668
188	1.575638227
189	1.573814283
190	1.570671361
191	1.56580084
192	1.562279265
193	1.560215212
194	1.556422233
195	1.554163688
196	1.55046449
197	1.54868014
198	1.545747595
199	1.541694092
200	1.53899947
201	1.536270206
202	1.531423868
203	1.529525228
204	1.525111976
205	1.521251862
206	1.517041654
207	1.514109018
208	1.510229837
209	1.508505809
210	1.507229302
211	1.503841743
212	1.502096875
213	1.500047245
214	1.497191883
215	1.495299932
216	1.491052226
217	1.48734856
218	1.485034119
219	1.482464917
220	1.480051003
221	1.477204792
222	1.474885127
223	1.472578522
224	1.469941739
225	1.466851753
226	1.463885341
227	1.460810399
228	1.457128963
229	1.454762408
230	1.453117104
231	1.450278503
232	1.447307991
233	1.444437587
234	1.442734212
235	1.440402207
236	1.436924661
237	1.434930253
238	1.431870809
239	1.429857859
240	1.428180853
241	1.425283199
242	1.42366458
243	1.420635111
244	1.419843633
245	1.416910766
246	1.415321138
247	1.41364018
248	1.410890481
249	1.407882713
250	1.404626287
251	1.402297903
252	1.400186518
253	1.397178561
254	1.395059083
255	1.39126191
256	1.388188435
257	1.385890922
258	1.383754213
259	1.380642441
260	1.379286966
261	1.376353906
262	1.373849052
263	1.372946706
264	1.370081442
265	1.367769758
266	1.365409161
267	1.362324304
268	1.360999927
269	1.359204066
270	1.356528711
271	1.353461755
272	1.350912216
273	1.349122359
274	1.346809673
275	1.344315049
276	1.34182808
277	1.339665116
278	1.337347478
279	1.336469614
280	1.333408627
281	1.332188794
282	1.331345395
283	1.328859331
284	1.326146881
285	1.323231317
286	1.321756156
287	1.319844075
288	1.317481711
289	1.314581121
290	1.311625132
291	1.309564448
292	1.306261461
293	1.304406866
294	1.302672185
295	1.300691755
296	1.298002065
297	1.2952287
298	1.293791256
299	1.291869617
300	1.289240723
301	1.28668294
302	1.283587055
303	1.282657731
304	1.280783033
305	1.278022024
306	1.275642758
307	1.272938309
308	1.270771308
309	1.269044301
310	1.268399095
311	1.266837613
312	1.264290304
313	1.262749193
314	1.261246041
315	1.258788567
316	1.256587728
317	1.254284714
318	1.253039174
319	1.251296412
320	1.25046273
321	1.249167753
322	1.24768835
323	1.246072041
324	1.245537024
325	1.244158182
326	1.242296434
327	1.240438557
328	1.237767365
329	1.235849105
330	1.23539776
331	1.232865902
332	1.230598348
333	1.228501876
334	1.226934058
335	1.223921958
336	1.221931
337	1.220550659
338	1.218912495
339	1.21705208
340	1.214053444
341	1.212647882
342	1.210383544
343	1.208603588
344	1.207829649
345	1.206103642
346	1.205235992
347	1.203779221
348	1.201744408
349	1.200584166
350	1.198772342
351	1.197058824
352	1.195421077
353	1.194635491
354	1.193858289
355	1.192079684
356	1.190904417
357	1.188793836
358	1.18741958
359	1.18696432
360	1.185473958
361	1.182967912
362	1.181338215
363	1.179541649
364	1.177543652
365	1.177307571
366	1.176611799
367	1.174692199
368	1.172952919
369	1.171438213
370	1.169347554
371	1.167509629
372	1.166189682
373	1.164280733
374	1.162743282
375	1.16013075
376	1.159465775
377	1.159070616
378	1.156766803
379	1.154931244
380	1.153102586
381	1.15057655
382	1.149111675
383	1.148364523
384	1.14699906
385	1.145268927
386	1.144572299
387	1.141846408
388	1.139459395
389	1.137263739
390	1.135402693
391	1.133223277
392	1.131986109
393	1.130121659
394	1.127753486
395	1.126475084
396	1.124550446
397	1.122473868
398	1.120782302
399	1.118552715
400	1.116084721
401	1.115399264
402	1.114850526
403	1.112532469
404	1.110932133
405	1.110143013
406	1.107884038
407	1.105891806
408	1.104113566
409	1.102228566
410	1.099740437
411	1.097829175
412	1.097441985
413	1.095723659
414	1.093733313
415	1.092049726
416	1.090365988
417	1.087942086
418	1.087134287
419	1.085560457
420	1.084625987
421	1.083130714
422	1.08138957
423	1.078911318
424	1.077786838
425	1.075501855
426	1.075137199
427	1.074669114
428	1.072885732
429	1.071133583
430	1.069148074
431	1.066456059
432	1.06521783
433	1.063747546
434	1.061811023
435	1.061140284
436	1.059668498
437	1.057816624
438	1.055807699
439	1.054583331
440	1.052930348
441	1.05114424
442	1.050320453
443	1.0491594
444	1.047628725
445	1.046005078
446	1.045822231
447	1.044127561
448	1.041834856
449	1.040696479
450	1.040184306
451	1.038321196
452	1.038041248
453	1.037357045
454	1.036240052
455	1.036143161
456	1.035261589
457	1.033755627
458	1.031665044
459	1.030357481
460	1.028882652
461	1.026988833
462	1.026660766
463	1.025199901
464	1.023153353
465	1.021682911
466	1.019649893
467	1.017605695
468	1.017375186
469	1.01571013
470	1.013559825
471	1.012284728
472	1.010828965
473	1.009887688
474	1.008159735
475	1.006962687
476	1.005396538
477	1.004425384
478	1.002323839
479	1.001837606
480	1.001213069
481	0.9988547412
482	0.9983873125
483	0.997113729
484	0.9959465763
485	0.9939179935
486	0.9922458648
487	0.9920207744
488	0.99045168
489	0.9889492277
490	0.9878183559
491	0.986797732
492	0.984928284
493	0.9845673176
494	0.9833309589
495	0.982153405
496	0.9810404007
497	0.979305961
498	0.9776363146
