iter	Passed	Remaining
0	25	12579
1	77	19354
2	116	19326
3	133	16506
4	147	14540
5	170	13997
6	189	13314
7	209	12831
8	227	12376
9	246	12052
10	265	11773
11	284	11541
12	304	11366
13	324	11245
14	346	11165
15	367	11097
16	380	10793
17	403	10775
18	432	10935
19	442	10594
20	465	10590
21	488	10599
22	514	10656
23	545	10798
24	573	10868
25	606	11027
26	639	11187
27	671	11287
28	698	11325
29	728	11386
30	759	11467
31	792	11562
32	825	11657
33	879	12033
34	914	12120
35	949	12207
36	987	12336
37	1029	12489
38	1075	12681
39	1129	12960
40	1176	13143
41	1218	13255
42	1259	13354
43	1320	13659
44	1360	13728
45	1409	13883
46	1456	14004
47	1506	14155
48	1551	14250
49	1598	14352
50	1641	14419
51	1688	14510
52	1762	14829
53	1813	14944
54	1874	15136
55	1943	15370
56	2012	15609
57	2086	15864
58	2173	16210
59	2244	16423
60	2297	16500
61	2354	16593
62	2440	16891
63	2510	17062
64	2589	17292
65	2647	17372
66	2708	17463
67	2775	17594
68	2840	17700
69	2915	17867
70	3026	18242
71	3111	18453
72	3182	18571
73	3236	18588
74	3290	18600
75	3341	18598
76	3394	18602
77	3482	18796
78	3491	18560
79	3541	18551
80	3595	18556
81	3649	18558
82	3709	18590
83	3774	18647
84	3852	18763
85	3959	19014
86	4025	19064
87	4037	18855
88	4089	18841
89	4144	18833
90	4193	18800
91	4242	18766
92	4289	18725
93	4355	18763
94	4399	18710
95	4445	18662
96	4490	18611
97	4542	18586
98	4590	18547
99	4638	18509
100	4686	18467
101	4741	18454
102	4848	18640
103	4910	18650
104	4978	18681
105	5036	18671
106	5104	18699
107	5166	18706
108	5229	18710
109	5275	18654
110	5318	18591
111	5363	18532
112	5407	18472
113	5453	18416
114	5495	18349
115	5542	18299
116	5586	18239
117	5647	18233
118	5696	18189
119	5742	18135
120	5793	18097
121	5835	18034
122	5881	17978
123	5926	17923
124	5973	17872
125	6016	17812
126	6076	17797
127	6131	17771
128	6183	17736
129	6232	17691
130	6282	17649
131	6355	17669
132	6420	17669
133	6480	17652
134	6568	17709
135	6624	17682
136	6677	17643
137	6729	17603
138	6783	17569
139	6832	17520
140	6878	17465
141	6933	17432
142	7004	17438
143	7049	17380
