Date,Descripcion,Coco
2014-07-01,Barahona,7.0
2014-07-01,La Altagracia,7.0
2014-07-01,La Romana,7.0
2014-07-01,Puerto Plata,3.0
2014-07-01,Santiago,3.0
2014-07-02,Barahona,7.0
2014-07-02,La Altagracia,7.0
2014-07-02,La Romana,7.0
2014-07-02,Puerto Plata,3.0
2014-07-02,Santiago,3.0
2014-07-03,Barahona,7.0
2014-07-03,La Altagracia,7.0
2014-07-03,La Romana,7.0
2014-07-03,Puerto Plata,3.0
2014-07-03,Santiago,3.0
2014-07-04,Barahona,7.0
2014-07-04,La Altagracia,7.0
2014-07-04,La Romana,7.0
2014-07-04,Puerto Plata,3.0
2014-07-04,Santiago,3.0
2014-07-05,Barahona,7.0
2014-07-05,La Altagracia,7.0
2014-07-05,La Romana,7.0
2014-07-05,Puerto Plata,3.0
2014-07-05,Santiago,3.0
2014-07-06,Barahona,7.0
2014-07-06,La Altagracia,7.0
2014-07-06,La Romana,7.0
2014-07-06,Puerto Plata,3.0
2014-07-06,Santiago,3.0
2014-07-07,Barahona,7.0
2014-07-07,La Altagracia,7.0
2014-07-07,La Romana,7.0
2014-07-07,Puerto Plata,3.0
2014-07-07,Santiago,3.0
2014-07-08,Barahona,7.0
2014-07-08,La Altagracia,7.0
2014-07-08,La Romana,7.0
2014-07-08,Puerto Plata,3.0
2014-07-08,Santiago,3.0
2014-07-09,Barahona,7.0
2014-07-09,La Altagracia,7.0
2014-07-09,La Romana,7.0
2014-07-09,Puerto Plata,3.0
2014-07-09,Santiago,3.0
2014-07-10,Barahona,7.0
2014-07-10,Distrito Nacional,4.0
2014-07-10,La Altagracia,7.0
2014-07-10,La Romana,7.0
2014-07-10,Puerto Plata,3.0
2014-07-10,San Cristobal,2.0
2014-07-10,Santiago,3.0
2014-07-10,Santo Domingo,4.0
2014-07-11,Barahona,7.0
2014-07-11,Distrito Nacional,4.0
2014-07-11,La Altagracia,7.0
2014-07-11,La Romana,7.0
2014-07-11,Puerto Plata,3.0
2014-07-11,San Cristobal,2.0
2014-07-11,Santiago,3.0
2014-07-11,Santo Domingo,4.0
2014-07-12,Barahona,7.0
2014-07-12,Distrito Nacional,4.0
2014-07-12,La Altagracia,7.0
2014-07-12,La Romana,7.0
2014-07-12,Puerto Plata,3.0
2014-07-12,San Cristobal,2.0
2014-07-12,Santiago,3.0
2014-07-12,Santo Domingo,4.0
2014-07-13,Barahona,7.0
2014-07-13,Distrito Nacional,4.0
2014-07-13,La Altagracia,7.0
2014-07-13,La Romana,7.0
2014-07-13,Puerto Plata,3.0
2014-07-13,San Cristobal,2.0
2014-07-13,Santiago,3.0
2014-07-13,Santo Domingo,4.0
2014-07-14,Barahona,7.0
2014-07-14,Distrito Nacional,4.0
2014-07-14,La Altagracia,7.0
2014-07-14,La Romana,7.0
2014-07-14,Puerto Plata,3.0
2014-07-14,San Cristobal,2.0
2014-07-14,Santiago,3.0
2014-07-14,Santo Domingo,4.0
2014-07-15,Barahona,7.0
2014-07-15,Distrito Nacional,4.0
2014-07-15,La Altagracia,7.0
2014-07-15,La Romana,7.0
2014-07-15,Puerto Plata,3.0
2014-07-15,San Cristobal,2.0
2014-07-15,Santiago,3.0
2014-07-15,Santo Domingo,4.0
2014-07-16,Barahona,7.0
2014-07-16,Distrito Nacional,4.0
2014-07-16,La Altagracia,7.0
2014-07-16,La Romana,7.0
2014-07-16,Puerto Plata,3.0
2014-07-16,San Cristobal,2.0
2014-07-16,Santiago,3.0
2014-07-16,Santo Domingo,4.0
2014-07-17,Barahona,7.0
2014-07-17,Distrito Nacional,4.0
2014-07-17,La Altagracia,7.0
2014-07-17,La Romana,7.0
2014-07-17,Puerto Plata,3.0
2014-07-17,San Cristobal,2.0
2014-07-17,Santiago,3.0
2014-07-17,Santo Domingo,4.0
2014-07-18,Barahona,7.0
2014-07-18,Distrito Nacional,4.0
2014-07-18,La Altagracia,7.0
2014-07-18,La Romana,7.0
2014-07-18,Puerto Plata,3.0
2014-07-18,San Cristobal,2.0
2014-07-18,Santiago,3.0
